50032200;	1661;	0;	2021@11@18
50032201;	1661;	0;	2021@11@18
50032212;	465;	0;	2021@11@18
50032213;	1661;	0;	2021@11@18
50032214;	1661;	0;	2021@11@18
60002027;	322;	0;	2021@11@18
60002094;	246;	0;	2021@11@18
60002407;	116;	0;	2021@11@18
60002444;	211;	0;	2021@11@18
60002446;	229;	0;	2021@11@18
60002447;	270;	0;	2021@11@18
60002748;	322;	0;	2021@11@18
60002853;	188;	0;	2021@11@18
60003120;	270;	0;	2021@11@13
60003121;	222;	1;	2021@11@07
60003127;	287;	0;	2021@11@07
60003128;	47;	0;	2021@11@07
60003129;	236;	0;	2021@11@11
60003130;	282;	0;	2021@11@15
60003216;	2280;	0;	2021@11@18
60003217;	335;	2;	2021@11@11
60003218;	58;	0;	2021@11@18
60003219;	1806;	0;	2021@11@18
60003220;	1329;	1;	2021@11@28
60003221;	1329;	0;	2021@11@18
60003222;	1329;	0;	2021@11@18
60003223;	439;	0;	2021@11@10
60003224;	282;	0;	2021@11@10
60003225;	2280;	0;	2021@11@18
60003226;	1197;	0;	2021@11@18
60003227;	2280;	0;	2021@11@14
60003228;	2280;	0;	2021@11@18
60003229;	2280;	0;	2021@11@18
60003259;	211;	0;	2021@11@15
60003263;	65;	0;	2021@11@18
60003276;	3589;	0;	2021@11@18
60003277;	4783;	0;	2021@11@18
60003278;	4783;	0;	2021@11@18
60003284;	3589;	0;	2021@11@18
60003285;	4653;	0;	2021@11@18
60003293;	216;	0;	2021@11@18
60003334;	165;	0;	2021@11@10
60003335;	165;	0;	2021@11@18
60003585;	178;	0;	2021@11@18
60003586;	178;	0;	2021@11@18
60003587;	239;	0;	2021@11@18
60003588;	239;	4;	2021@11@08
60003860;	734;	0;	2021@11@18
60003912;	3390;	0;	2021@11@12
60003913;	7799;	0;	2021@11@18
60004009;	9003;	0;	2021@11@18
60004010;	9003;	0;	2021@11@18
60004036;	1575;	3;	2021@12@11
60004037;	4991;	0;	2022@01@18
60004064;	373;	0;	2021@11@18
60004065;	373;	0;	2021@11@18
60004077;	12340;	0;	2021@11@18
60004080;	2349;	2;	2021@11@12
60004113;	217;	5;	2021@11@12
60004118;	2865,8;	0;	2021@11@18
60004119;	3233;	0;	2021@11@18
60004120;	3270;	0;	2021@11@14
60004121;	4343;	0;	2021@11@18
60004148;	217;	0;	2021@11@18
60004221;	173;	0;	2021@11@18
60004222;	173;	0;	2021@11@22
60004223;	165;	2;	2022@01@10
60004224;	165;	0;	2021@12@29
60004231;	823;	0;	2021@11@18
60004235;	12340;	0;	2021@11@14
60004302;	523;	0;	2021@11@18
60004303;	429;	3;	2022@06@11
60004304;	341;	10;	2021@11@19
